Mod:Item:MetaData, Localized Name
nuclearcraft:pellet_curium:10, HECm-247
nuclearcraft:pellet_curium:11, HECm-247 Carbide
nuclearcraft:pellet_berkelium:0, LEB-248
nuclearcraft:pellet_berkelium:1, LEB-248 Carbide
nuclearcraft:pellet_berkelium:2, HEB-248
nuclearcraft:pellet_berkelium:3, HEB-248 Carbide
nuclearcraft:pellet_californium:0, LECf-249
nuclearcraft:pellet_californium:1, LECf-249 Carbide
nuclearcraft:pellet_californium:2, HECf-249
nuclearcraft:pellet_californium:3, HECf-249 Carbide
nuclearcraft:pellet_californium:4, LECf-251
nuclearcraft:pellet_californium:5, LECf-251 Carbide
nuclearcraft:pellet_californium:6, HECf-251
nuclearcraft:pellet_californium:7, HECf-251 Carbide
nuclearcraft:fuel_thorium:0, TBU TRISO Fuel Pebble
nuclearcraft:fuel_thorium:1, TBU Oxide Fuel Pellet
nuclearcraft:fuel_thorium:2, TBU Nitride Fuel Pellet
nuclearcraft:fuel_thorium:3, TBU-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_uranium:0, LEU-233 TRISO Fuel Pebble
nuclearcraft:fuel_uranium:1, LEU-233 Oxide Fuel Pellet
nuclearcraft:fuel_uranium:2, LEU-233 Nitride Fuel Pellet
nuclearcraft:fuel_uranium:3, LEU-233-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_uranium:4, HEU-233 TRISO Fuel Pebble
nuclearcraft:fuel_uranium:5, HEU-233 Oxide Fuel Pellet
nuclearcraft:fuel_uranium:6, HEU-233 Nitride Fuel Pellet
nuclearcraft:fuel_uranium:7, HEU-233-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_uranium:8, LEU-235 TRISO Fuel Pebble
nuclearcraft:fuel_uranium:9, LEU-235 Oxide Fuel Pellet
nuclearcraft:fuel_uranium:10, LEU-235 Nitride Fuel Pellet
nuclearcraft:fuel_uranium:11, LEU-235-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_uranium:12, HEU-235 TRISO Fuel Pebble
nuclearcraft:fuel_uranium:13, HEU-235 Oxide Fuel Pellet
nuclearcraft:fuel_uranium:14, HEU-235 Nitride Fuel Pellet
nuclearcraft:fuel_uranium:15, HEU-235-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_neptunium:0, LEN-236 TRISO Fuel Pebble
nuclearcraft:fuel_neptunium:1, LEN-236 Oxide Fuel Pellet
nuclearcraft:fuel_neptunium:2, LEN-236 Nitride Fuel Pellet
nuclearcraft:fuel_neptunium:3, LEN-236-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_neptunium:4, HEN-236 TRISO Fuel Pebble
nuclearcraft:fuel_neptunium:5, HEN-236 Oxide Fuel Pellet
nuclearcraft:fuel_neptunium:6, HEN-236 Nitride Fuel Pellet
nuclearcraft:fuel_neptunium:7, HEN-236-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_plutonium:0, LEP-239 TRISO Fuel Pebble
nuclearcraft:fuel_plutonium:1, LEP-239 Oxide Fuel Pellet
nuclearcraft:fuel_plutonium:2, LEP-239 Nitride Fuel Pellet
nuclearcraft:fuel_plutonium:3, LEP-239-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_plutonium:4, HEP-239 TRISO Fuel Pebble
nuclearcraft:fuel_plutonium:5, HEP-239 Oxide Fuel Pellet
nuclearcraft:fuel_plutonium:6, HEP-239 Nitride Fuel Pellet
nuclearcraft:fuel_plutonium:7, HEP-239-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_plutonium:8, LEP-241 TRISO Fuel Pebble
nuclearcraft:fuel_plutonium:9, LEP-241 Oxide Fuel Pellet
nuclearcraft:fuel_plutonium:10, LEP-241 Nitride Fuel Pellet
nuclearcraft:fuel_plutonium:11, LEP-241-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_plutonium:12, HEP-241 TRISO Fuel Pebble
nuclearcraft:fuel_plutonium:13, HEP-241 Oxide Fuel Pellet
nuclearcraft:fuel_plutonium:14, HEP-241 Nitride Fuel Pellet
nuclearcraft:fuel_plutonium:15, HEP-241-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_mixed:0, MTRISO-239 Fuel Pebble
nuclearcraft:fuel_mixed:1, MOX-239 Fuel Pellet
nuclearcraft:fuel_mixed:2, MNI-239 Fuel Pellet
nuclearcraft:fuel_mixed:3, MZA-239 Fuel Pellet
nuclearcraft:fuel_mixed:4, MTRISO-241 Fuel Pebble
nuclearcraft:fuel_mixed:5, MOX-241 Fuel Pellet
nuclearcraft:fuel_mixed:6, MNI-241 Fuel Pellet
nuclearcraft:fuel_mixed:7, MZA-241 Fuel Pellet
nuclearcraft:fuel_americium:0, LEA-242 TRISO Fuel Pebble
nuclearcraft:fuel_americium:1, LEA-242 Oxide Fuel Pellet
nuclearcraft:fuel_americium:2, LEA-242 Nitride Fuel Pellet
nuclearcraft:fuel_americium:3, LEA-242-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_americium:4, HEA-242 TRISO Fuel Pebble
nuclearcraft:fuel_americium:5, HEA-242 Oxide Fuel Pellet
nuclearcraft:fuel_americium:6, HEA-242 Nitride Fuel Pellet
nuclearcraft:fuel_americium:7, HEA-242-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_curium:0, LECm-243 TRISO Fuel Pebble
nuclearcraft:fuel_curium:1, LECm-243 Oxide Fuel Pellet
nuclearcraft:fuel_curium:2, LECm-243 Nitride Fuel Pellet
nuclearcraft:fuel_curium:3, LECm-243-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_curium:4, HECm-243 TRISO Fuel Pebble
nuclearcraft:fuel_curium:5, HECm-243 Oxide Fuel Pellet
nuclearcraft:fuel_curium:6, HECm-243 Nitride Fuel Pellet
nuclearcraft:fuel_curium:7, HECm-243-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_curium:8, LECm-245 TRISO Fuel Pebble
nuclearcraft:fuel_curium:9, LECm-245 Oxide Fuel Pellet
nuclearcraft:fuel_curium:10, LECm-245 Nitride Fuel Pellet
nuclearcraft:fuel_curium:11, LECm-245-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_curium:12, HECm-245 TRISO Fuel Pebble
nuclearcraft:fuel_curium:13, HECm-245 Oxide Fuel Pellet
nuclearcraft:fuel_curium:14, HECm-245 Nitride Fuel Pellet
nuclearcraft:fuel_curium:15, HECm-245-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_curium:16, LECm-247 TRISO Fuel Pebble
nuclearcraft:fuel_curium:17, LECm-247 Oxide Fuel Pellet
nuclearcraft:fuel_curium:18, LECm-247 Nitride Fuel Pellet
nuclearcraft:fuel_curium:19, LECm-247-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_curium:20, HECm-247 TRISO Fuel Pebble
nuclearcraft:fuel_curium:21, HECm-247 Oxide Fuel Pellet
nuclearcraft:fuel_curium:22, HECm-247 Nitride Fuel Pellet
nuclearcraft:fuel_curium:23, HECm-247-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_berkelium:0, LEB-248 TRISO Fuel Pebble
nuclearcraft:fuel_berkelium:1, LEB-248 Oxide Fuel Pellet
nuclearcraft:fuel_berkelium:2, LEB-248 Nitride Fuel Pellet
nuclearcraft:fuel_berkelium:3, LEB-248-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_berkelium:4, HEB-248 TRISO Fuel Pebble
nuclearcraft:fuel_berkelium:5, HEB-248 Oxide Fuel Pellet
nuclearcraft:fuel_berkelium:6, HEB-248 Nitride Fuel Pellet
nuclearcraft:fuel_berkelium:7, HEB-248-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_californium:0, LECf-249 TRISO Fuel Pebble
nuclearcraft:fuel_californium:1, LECf-249 Oxide Fuel Pellet
nuclearcraft:fuel_californium:2, LECf-249 Nitride Fuel Pellet
nuclearcraft:fuel_californium:3, LECf-249-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_californium:4, HECf-249 TRISO Fuel Pebble
nuclearcraft:fuel_californium:5, HECf-249 Oxide Fuel Pellet
nuclearcraft:fuel_californium:6, HECf-249 Nitride Fuel Pellet
nuclearcraft:fuel_californium:7, HECf-249-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_californium:8, LECf-251 TRISO Fuel Pebble
nuclearcraft:fuel_californium:9, LECf-251 Oxide Fuel Pellet
nuclearcraft:fuel_californium:10, LECf-251 Nitride Fuel Pellet
nuclearcraft:fuel_californium:11, LECf-251-Zirconium Alloy Fuel Pellet
nuclearcraft:fuel_californium:12, HECf-251 TRISO Fuel Pebble
nuclearcraft:fuel_californium:13, HECf-251 Oxide Fuel Pellet
nuclearcraft:fuel_californium:14, HECf-251 Nitride Fuel Pellet
nuclearcraft:fuel_californium:15, HECf-251-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_thorium:0, Depleted TBU TRISO Fuel Pebble
nuclearcraft:depleted_fuel_thorium:1, Depleted TBU Oxide Fuel Pellet
nuclearcraft:depleted_fuel_thorium:2, Depleted TBU Nitride Fuel Pellet
nuclearcraft:depleted_fuel_thorium:3, Depleted TBU-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_uranium:0, Depleted LEU-233 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_uranium:1, Depleted LEU-233 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_uranium:2, Depleted LEU-233 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_uranium:3, Depleted LEU-233-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_uranium:4, Depleted HEU-233 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_uranium:5, Depleted HEU-233 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_uranium:6, Depleted HEU-233 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_uranium:7, Depleted HEU-233-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_uranium:8, Depleted LEU-235 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_uranium:9, Depleted LEU-235 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_uranium:10, Depleted LEU-235 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_uranium:11, Depleted LEU-235-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_uranium:12, Depleted HEU-235 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_uranium:13, Depleted HEU-235 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_uranium:14, Depleted HEU-235 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_uranium:15, Depleted HEU-235-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_neptunium:0, Depleted LEN-236 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_neptunium:1, Depleted LEN-236 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_neptunium:2, Depleted LEN-236 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_neptunium:3, Depleted LEN-236-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_neptunium:4, Depleted HEN-236 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_neptunium:5, Depleted HEN-236 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_neptunium:6, Depleted HEN-236 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_neptunium:7, Depleted HEN-236-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:0, Depleted LEP-239 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_plutonium:1, Depleted LEP-239 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:2, Depleted LEP-239 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:3, Depleted LEP-239-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:4, Depleted HEP-239 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_plutonium:5, Depleted HEP-239 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:6, Depleted HEP-239 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:7, Depleted HEP-239-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:8, Depleted LEP-241 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_plutonium:9, Depleted LEP-241 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:10, Depleted LEP-241 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:11, Depleted LEP-241-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:12, Depleted HEP-241 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_plutonium:13, Depleted HEP-241 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:14, Depleted HEP-241 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_plutonium:15, Depleted HEP-241-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_mixed:0, Depleted MTRISO-239 Fuel Pebble
nuclearcraft:depleted_fuel_mixed:1, Depleted MOX-239 Fuel Pellet
nuclearcraft:depleted_fuel_mixed:2, Depleted MNI-239 Fuel Pellet
nuclearcraft:depleted_fuel_mixed:3, Depleted MZA-239 Fuel Pellet
nuclearcraft:depleted_fuel_mixed:4, Depleted MTRISO-241 Fuel Pebble
nuclearcraft:depleted_fuel_mixed:5, Depleted MOX-241 Fuel Pellet
nuclearcraft:depleted_fuel_mixed:6, Depleted MNI-241 Fuel Pellet
nuclearcraft:depleted_fuel_mixed:7, Depleted MZA-241 Fuel Pellet
nuclearcraft:depleted_fuel_americium:0, Depleted LEA-242 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_americium:1, Depleted LEA-242 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_americium:2, Depleted LEA-242 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_americium:3, Depleted LEA-242-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_americium:4, Depleted HEA-242 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_americium:5, Depleted HEA-242 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_americium:6, Depleted HEA-242 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_americium:7, Depleted HEA-242-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_curium:0, Depleted LECm-243 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_curium:1, Depleted LECm-243 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_curium:2, Depleted LECm-243 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_curium:3, Depleted LECm-243-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_curium:4, Depleted HECm-243 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_curium:5, Depleted HECm-243 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_curium:6, Depleted HECm-243 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_curium:7, Depleted HECm-243-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_curium:8, Depleted LECm-245 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_curium:9, Depleted LECm-245 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_curium:10, Depleted LECm-245 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_curium:11, Depleted LECm-245-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_curium:12, Depleted HECm-245 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_curium:13, Depleted HECm-245 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_curium:14, Depleted HECm-245 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_curium:15, Depleted HECm-245-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_curium:16, Depleted LECm-247 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_curium:17, Depleted LECm-247 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_curium:18, Depleted LECm-247 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_curium:19, Depleted LECm-247-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_curium:20, Depleted HECm-247 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_curium:21, Depleted HECm-247 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_curium:22, Depleted HECm-247 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_curium:23, Depleted HECm-247-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_berkelium:0, Depleted LEB-248 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_berkelium:1, Depleted LEB-248 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_berkelium:2, Depleted LEB-248 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_berkelium:3, Depleted LEB-248-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_berkelium:4, Depleted HEB-248 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_berkelium:5, Depleted HEB-248 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_berkelium:6, Depleted HEB-248 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_berkelium:7, Depleted HEB-248-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_californium:0, Depleted LECf-249 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_californium:1, Depleted LECf-249 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_californium:2, Depleted LECf-249 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_californium:3, Depleted LECf-249-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_californium:4, Depleted HECf-249 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_californium:5, Depleted HECf-249 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_californium:6, Depleted HECf-249 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_californium:7, Depleted HECf-249-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_californium:8, Depleted LECf-251 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_californium:9, Depleted LECf-251 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_californium:10, Depleted LECf-251 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_californium:11, Depleted LECf-251-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_californium:12, Depleted HECf-251 TRISO Fuel Pebble
nuclearcraft:depleted_fuel_californium:13, Depleted HECf-251 Oxide Fuel Pellet
nuclearcraft:depleted_fuel_californium:14, Depleted HECf-251 Nitride Fuel Pellet
nuclearcraft:depleted_fuel_californium:15, Depleted HECf-251-Zirconium Alloy Fuel Pellet
nuclearcraft:depleted_fuel_ic2:0, Depleted Uranium Nuclear Fuel
nuclearcraft:depleted_fuel_ic2:1, Depleted MOX Nuclear Fuel
nuclearcraft:boron:0, Boron-10
nuclearcraft:boron:1, Boron-11
nuclearcraft:lithium:0, Lithium-6
nuclearcraft:lithium:1, Lithium-7
nuclearcraft:lithium_ion_cell, Lithium Ion Cell
nuclearcraft:multitool, Multitool
nuclearcraft:geiger_counter, Geiger Counter
nuclearcraft:rad_shielding:0, Light Radiation Shielding
nuclearcraft:rad_shielding:1, Medium Radiation Shielding
nuclearcraft:rad_shielding:2, Heavy Radiation Shielding
nuclearcraft:radiation_badge, Radiation Badge
nuclearcraft:radaway, RadAway
nuclearcraft:radaway_slow, Slow-Acting RadAway
nuclearcraft:rad_x, Rad-X
nuclearcraft:portable_ender_chest, Portable Ender Chest
nuclearcraft:dominos, Domino's Special
nuclearcraft:flour, Flour
nuclearcraft:graham_cracker, Graham Cracker
nuclearcraft:roasted_cocoa_beans, Roasted Cocoa Beans
nuclearcraft:ground_cocoa_nibs, Ground Cocoa Nibs
nuclearcraft:cocoa_butter, Solidified Cocoa Butter
nuclearcraft:cocoa_solids, Cocoa Solids
nuclearcraft:unsweetened_chocolate, Unsweetened Chocolate
nuclearcraft:dark_chocolate, Dark Chocolate
nuclearcraft:milk_chocolate, Milk Chocolate
nuclearcraft:gelatin, Gelatin
nuclearcraft:marshmallow, Marshmallow
nuclearcraft:smore, S'more S'mingot
nuclearcraft:moresmore, MoreS'more DoubleS'mingot
nuclearcraft:foursmore, FourS'more QuadS'mingot
nuclearcraft:record_wanderer, Music Disc
nuclearcraft:record_end_of_the_world, Music Disc
nuclearcraft:record_money_for_nothing, Music Disc
nuclearcraft:record_hyperspace, Music Disc
nuclearcraft:sword_boron, Boron Sword
nuclearcraft:pickaxe_boron, Boron Pickaxe
nuclearcraft:shovel_boron, Boron Shovel
nuclearcraft:axe_boron, Boron Axe
nuclearcraft:hoe_boron, Boron Hoe
nuclearcraft:spaxelhoe_boron, Boron Spaxelhoe
nuclearcraft:sword_tough, Tough Alloy Sword
nuclearcraft:pickaxe_tough, Tough Alloy Pickaxe
nuclearcraft:shovel_tough, Tough Alloy Shovel
nuclearcraft:axe_tough, Tough Alloy Axe
nuclearcraft:hoe_tough, Tough Alloy Hoe
nuclearcraft:spaxelhoe_tough, Tough Alloy Spaxelhoe
nuclearcraft:sword_hard_carbon, Hard Carbon Sword
nuclearcraft:pickaxe_hard_carbon, Hard Carbon Pickaxe
nuclearcraft:shovel_hard_carbon, Hard Carbon Shovel
nuclearcraft:axe_hard_carbon, Hard Carbon Axe
nuclearcraft:hoe_hard_carbon, Hard Carbon Hoe
nuclearcraft:spaxelhoe_hard_carbon, Hard Carbon Spaxelhoe
nuclearcraft:sword_boron_nitride, Boron Nitride Sword
nuclearcraft:pickaxe_boron_nitride, Boron Nitride Pickaxe
nuclearcraft:shovel_boron_nitride, Boron Nitride Shovel
nuclearcraft:axe_boron_nitride, Boron Nitride Axe
nuclearcraft:hoe_boron_nitride, Boron Nitride Hoe
nuclearcraft:spaxelhoe_boron_nitride, Boron Nitride Spaxelhoe
nuclearcraft:helm_boron, Boron Helmet
nuclearcraft:chest_boron, Boron Chestplate
nuclearcraft:legs_boron, Boron Leggings
nuclearcraft:boots_boron, Boron Boots
nuclearcraft:helm_tough, Tough Alloy Helmet
nuclearcraft:chest_tough, Tough Alloy Chestplate
nuclearcraft:legs_tough, Tough Alloy Leggings
nuclearcraft:boots_tough, Tough Alloy Boots
nuclearcraft:helm_hard_carbon, Hard Carbon Helmet
nuclearcraft:chest_hard_carbon, Hard Carbon Chestplate
nuclearcraft:legs_hard_carbon, Hard Carbon Leggings
nuclearcraft:boots_hard_carbon, Hard Carbon Boots
nuclearcraft:helm_boron_nitride, Boron Nitride Helmet
nuclearcraft:chest_boron_nitride, Boron Nitride Chestplate
nuclearcraft:legs_boron_nitride, Boron Nitride Leggings
nuclearcraft:boots_boron_nitride, Boron Nitride Boots
nuclearcraft:helm_hazmat, Hazmat Suit Headwear
nuclearcraft:chest_hazmat, Hazmat Suit Chestpiece
nuclearcraft:legs_hazmat, Hazmat Suit Leggings
nuclearcraft:boots_hazmat, Hazmat Suit Boots
nuclearcraft:fluid_oxygen, Oxygen
nuclearcraft:fluid_hydrogen, Hydrogen
nuclearcraft:fluid_deuterium, Deuterium
nuclearcraft:fluid_tritium, Tritium
nuclearcraft:fluid_helium_3, Helium-3
nuclearcraft:fluid_helium, Helium
nuclearcraft:fluid_boron_10, Molten Boron-10
nuclearcraft:fluid_boron_11, Molten Boron-11
nuclearcraft:fluid_lithium_6, Molten Lithium-6
nuclearcraft:fluid_lithium_7, Molten Lithium-7
nuclearcraft:fluid_steel, Molten Steel
nuclearcraft:fluid_ferroboron, Molten Ferroboron
nuclearcraft:fluid_tough, Molten Tough Alloy
nuclearcraft:fluid_hard_carbon, Molten Hard Carbon
nuclearcraft:fluid_beryllium, Molten Beryllium
nuclearcraft:fluid_zirconium, Molten Zirconium
nuclearcraft:fluid_manganese_dioxide, Molten Manganese Dioxide
nuclearcraft:fluid_sulfur, Molten Sulfur
nuclearcraft:fluid_liquid_helium, Liquid Helium
nuclearcraft:fluid_liquid_nitrogen, Liquid Nitrogen
nuclearcraft:fluid_heavy_water, Heavy Water
nuclearcraft:fluid_lead_platinum, Molten Lead Platinum
nuclearcraft:fluid_enderium, Molten Enderium
nuclearcraft:fluid_plasma, Plasma
nuclearcraft:fluid_ethanol, Ethanol
nuclearcraft:fluid_methanol, Methanol
nuclearcraft:fluid_radaway, RadAway Fluid
nuclearcraft:fluid_radaway_slow, Slow-Acting RadAway Fluid
nuclearcraft:fluid_redstone_ethanol, Redstone-Infused Ethanol
nuclearcraft:fluid_nitrogen, Nitrogen
nuclearcraft:fluid_fluorine, Fluorine
nuclearcraft:fluid_carbon_dioxide, Carbon Dioxide
nuclearcraft:fluid_carbon_monoxide, Carbon Monoxide
nuclearcraft:fluid_ethene, Ethylene
nuclearcraft:fluid_fluoromethane, Fluoromethane
nuclearcraft:fluid_ammonia, Ammonia
nuclearcraft:fluid_oxygen_difluoride, Oxygen Difluoride
nuclearcraft:fluid_diborane, Diborane
nuclearcraft:fluid_sulfur_dioxide, Sulfur Dioxide
nuclearcraft:fluid_sulfur_trioxide, Sulfur Trioxide
nuclearcraft:fluid_hydrofluoric_acid, Hydrofluoric Acid
nuclearcraft:fluid_boric_acid, Boric Acid
nuclearcraft:fluid_sulfuric_acid, Sulfuric Acid
nuclearcraft:fluid_boron_nitride_solution, Boron Nitride Solution
nuclearcraft:fluid_fluorite_water, Fluorite Water
nuclearcraft:fluid_calcium_sulfate_solution, Calcium Sulfate Solution
nuclearcraft:fluid_sodium_fluoride_solution, Sodium Fluoride Solution
nuclearcraft:fluid_potassium_fluoride_solution, Potassium Fluoride Solution
nuclearcraft:fluid_sodium_hydroxide_solution, Sodium Hydroxide Solution
nuclearcraft:fluid_potassium_hydroxide_solution, Potassium Hydroxide Solution
nuclearcraft:fluid_borax_solution, Borax Solution
nuclearcraft:fluid_irradiated_borax_solution, Irradiated Borax Solution
nuclearcraft:fluid_corium, Corium
nuclearcraft:fluid_ice, Crushed Ice
nuclearcraft:fluid_slurry_ice, Slurry Ice
nuclearcraft:fluid_chocolate_liquor, Chocolate Liquor
nuclearcraft:fluid_cocoa_butter, Cocoa Butter
nuclearcraft:fluid_unsweetened_chocolate, Molten Unsweetened Chocolate
nuclearcraft:fluid_dark_chocolate, Molten Dark Chocolate
nuclearcraft:fluid_milk_chocolate, Molten Milk Chocolate
nuclearcraft:fluid_sugar, Molten Sugar
nuclearcraft:fluid_gelatin, Molten Gelatin
nuclearcraft:fluid_hydrated_gelatin, Hydrated Gelatin
nuclearcraft:fluid_marshmallow, Liquid Marshmallow
nuclearcraft:fluid_milk, Milk
nuclearcraft:fluid_lif, Molten Lithium Fluoride
nuclearcraft:fluid_bef2, Molten Beryllium Fluoride
nuclearcraft:fluid_flibe, Molten FLiBe Salt Mixture
nuclearcraft:fluid_naoh, Molten Sodium Hydroxide
nuclearcraft:fluid_koh, Molten Potassium Hydroxide
nuclearcraft:fluid_high_pressure_steam, High Pressure Steam
nuclearcraft:fluid_exhaust_steam, Exhaust Steam
nuclearcraft:fluid_low_pressure_steam, Low Pressure Steam
nuclearcraft:fluid_low_quality_steam, Low Quality Steam
nuclearcraft:fluid_preheated_water, Preheated Water
nuclearcraft:fluid_condensate_water, Condensate Water
nuclearcraft:fluid_sodium, Molten Sodium
nuclearcraft:fluid_potassium, Molten Potassium
nuclearcraft:fluid_nak, Eutectic NaK Alloy
nuclearcraft:fluid_nak_hot, Hot Eutectic NaK Alloy
nuclearcraft:fluid_emergency_coolant, Emergency Coolant
nuclearcraft:fluid_emergency_coolant_heated, Heated Emergency Coolant
nuclearcraft:fluid_arsenic, Sublimated Arsenic
nuclearcraft:fluid_bas, Molten Boron Arsenide
nuclearcraft:fluid_sic_vapor, Silicon Carbide Vapor
nuclearcraft:fluid_alugentum, Molten Alugentum
nuclearcraft:fluid_alumina, Molten Alumina
